ring,year,site,box,age,sex,wing,mass,date,time,ringer
Z081039,2014,FOF,6,5,M,,,140,,Recorder2
Z081040,2014,FOF,6,5,F,,,140,,Recorder2
Z081068,2014,BAD,5,6,M,,,142,,Recorder2
Z081069,2014,BAD,5,5,F,,,142,,Recorder2
Z081094,2014,PTH,1,6,F,,,143,,Recorder2
Z081095,2014,STY,1,6,M,,,143,,Recorder2
Z081096,2014,STY,1,6,F,,,143,,Recorder2
Z081097,2014,DAV,6,6,F,62,,143,,Recorder2
Z081098,2014,FOU,1,6,M,65,,143,,Recorder1
Z081099,2014,FOU,1,5,F,63,,143,,Recorder1
Z081100,2014,FOU,2,6,M,68,,143,,Recorder2
Z081101,2014,FOU,2,6,F,62,,143,,Recorder2
Z081102,2014,DEL,3,6,M,66,,143,,Recorder2
Z081103,2014,DEL,3,5,F,61,,143,,Recorder2
Z081352,2014,TAI,5,6,M,63,11.07,143,,Recorder1
Z081353,2014,TAI,5,6,F,60,10.1,143,,Recorder1
Z081104,2014,MCH,6,6,F,62,,144,,Recorder2
Z081116,2014,GLF,1,5,F,62,,144,,Recorder2
Z081117,2014,GLF,1,6,M,66,,144,,Recorder2
Z081138,2014,FOF,3,5,F,64,11.2,144,,Recorder2
Z081139,2014,FOF,3,6,M,67,11.5,144,,Recorder2
Z081140,2014,FOF,5,6,M,66,10.5,146,,Recorder2
Z081141,2014,FOF,5,6,F,63,11.7,146,,Recorder2
Z081142,2014,FOF,1,6,F,62,,146,,Recorder2
Z081143,2014,BAD,1,5,M,66,10.9,146,,Recorder2
Z081144,2014,GLF,6,5,M,62,11,146,,Recorder2
Z081145,2014,MCH,3,6,M,66,11,146,,Recorder2
Z081146,2014,BAD,3,6,F,62,,148,,Recorder2
Z081147,2014,BAD,3,5,M,63,10.8,148,,Recorder2
Z081154,2014,PTH,3,6,F,61,,148,,Recorder2
Z081155,2014,STY,5,6,M,68,,148,,Recorder2
Z081156,2014,STY,5,5,F,62,,148,,Recorder2
Z081164,2014,AVI,1,6,F,60,10.9,149,,Recorder2
Z081165,2014,AVI,1,6,M,68,11.7,149,,Recorder2
Z081166,2014,DAV,4,6,F,62,11.2,149,,Recorder2
Z081167,2014,DAV,4,6,M,67,11.2,149,,Recorder2
Z081168,2014,DAV,1,6,M,64,10.9,149,,Recorder2
Z081169,2014,DAV,1,6,F,63,10.9,149,,Recorder2
Z081170,2014,MUN,1,6,M,64,10.7,149,,Recorder2
Z081171,2014,MUN,1,6,F,62,10.2,149,,Recorder2
Z081172,2014,MUN,2,5,F,63,,149,,Recorder2
Z081173,2014,MUN,2,6,M,66,,149,,Recorder2
Z081183,2014,FOU,5,6,F,60,11.5,149,,Recorder2
Z081184,2014,FOU,5,6,M,64,10.5,149,,Recorder2
Z081194,2014,DEL,2,6,F,60,10.9,149,,Recorder2
Z081195,2014,DEL,2,6,M,68,11.7,149,,Recorder2
Z081196,2014,DEL,5,5,M,65,11,149,,Recorder2
Z081197,2014,DEL,5,5,F,61,,149,,Recorder2
Z081198,2014,DEL,4,6,M,66,10.9,149,,Recorder2
Z081199,2014,TAI,4,6,F,63,10.7,149,,Recorder2
Z081200,2014,TAI,4,5,M,64,11.1,149,,Recorder2
Z081615,2014,FSH,5,6,M,66,11.1,150,,Recorder2
Z081616,2014,FSH,5,6,F,62,10.3,150,,Recorder2
L894966,2014,LVN,5,6,F,64,10.9,151,,Recorder2
Z081534,2014,BLG,2,6,F,63,,151,,Recorder1
Z081649,2014,LVN,5,6,M,64,10.9,151,,Recorder2
Z081650,2014,PTH,6,5,F,62.5,10.6,151,,Recorder2
Z081651,2014,BIR,2,6,M,64,10.8,151,,Recorder2
Z081652,2014,BIR,4,5,F,60,10.1,151,,Recorder2
Z081653,2014,BIR,4,5,M,66,10.4,151,,Recorder2
Z081654,2014,BIR,2,6,F,62,11.4,151,,Recorder2
Z081655,2014,BLA,4,6,M,65,11.2,151,,Recorder2
Z081656,2014,BLA,4,5,F,60,10.7,151,,Recorder2
Z081657,2014,STY,6,5,M,65,11.4,151,,Recorder2
Z081685,2014,MCH,5,5,F,,10.6,152,,Recorder2
Z081686,2014,MCH,5,5,M,,11.3,152,,Recorder2
Z081576,2014,NEW,6,6,M,66,9.85,153,,Recorder1
Z081577,2014,NEW,5,6,M,65,10.79,153,,Recorder1
Z081687,2014,LVN,1,5,F,63,10.6,154,,Recorder2
Z081688,2014,LVN,1,5,M,66,10.6,154,,Recorder2
Z081689,2014,GLF,2,5,F,60,10.7,154,,Recorder2
Z081690,2014,GLF,2,5,M,66.5,10.9,154,,Recorder2
Z081698,2014,PTH,4,5,M,63,11.3,154,,Recorder2
Z081699,2014,KCK,2,6,M,64,10.2,154,,Recorder2
Z081700,2014,KCK,1,6,M,65,11.6,154,,Recorder2
Z081709,2014,KCK,1,5,F,61.5,11.6,154,,Recorder2
Z081710,2014,BLG,5,6,F,63,10.6,154,,Recorder2
Z081711,2014,BLG,5,6,M,64.5,10.7,154,,Recorder2
Z081586,2014,BIR,6,5,M,66,11.25,155,,Recorder1
Z081801,2014,BLG,1,6,M,65,11.45,155,,Recorder1
Z081814,2014,NEW,2,5,M,61,,155,,Recorder1
Z081815,2014,MUN,6,6,F,60,10.84,155,,Recorder1
L892095,2014,LVN,3,6,F,62,11.32,156,,Recorder2
V566290,2014,LVN,3,6,M,65,,156,,Recorder2
Z081712,2014,FOF,2,5,F,60,10.4,156,,Recorder2
Z081713,2014,FOF,2,6,M,64,10.36,156,,Recorder2
Z081714,2014,FOF,4,5,F,64,11.48,156,,Recorder2
Z081715,2014,LVN,2,6,F,62,11.11,156,,Recorder2
Z081716,2014,LVN,2,6,M,66,10.29,156,,Recorder2
Z081816,2014,FSH,3,5,F,61,10.01,156,,Recorder1
Z081833,2014,DNC,1,6,M,63,9.89,157,,Recorder1
Z081717,2014,GLF,5,6,M,66,10.87,158,,Recorder2
Z081718,2014,BLA,6,5,F,60,10.27,158,,Recorder2
Z081719,2014,BLA,6,6,M,66,,158,,Recorder2
Z081720,2014,BLA,3,5,F,60,9.74,158,,Recorder2
Z081834,2014,DOR,5,5,F,61,10.1,158,,Recorder1
Z081835,2014,DOR,6,6,M,66,10.59,158,,Recorder1
Z081836,2014,DOR,6,6,F,63,10.2,158,,Recorder1
Z081837,2014,CAR,5,5,M,65,10.08,158,,Recorder1
Z081838,2014,KCK,3,5,F,64,10.86,158,,Recorder1
Z081839,2014,BLG,3,6,F,61,10.37,159,,Recorder1
Z081848,2014,TAI,3,5,M,65,10.78,159,,Recorder1
Z081849,2014,TAI,3,5,F,61,10.25,159,,Recorder1
Z081852,2014,DOR,3,5,F,63,11.43,160,,Recorder1
Z081853,2014,INS,6,5,M,63,10.21,160,,Recorder1
Z081854,2014,INS,6,5,F,60,9.74,160,,Recorder1
Z081855,2014,CRU,1,6,M,67,10.74,160,,Recorder1
Z081856,2014,CRU,1,6,F,61,10.11,160,,Recorder1
Z081857,2014,DLW,4,5,F,58,9.92,160,,Recorder1
Z081858,2014,BLG,6,5,F,59,10.51,161,,Recorder1
Z081859,2014,DOR,3,6,M,67,11.44,162,,Recorder1
Z081860,2014,DAV,5,5,M,63,9.57,162,,Recorder1
Z081861,2014,CRU,4,6,M,63,10.19,162,,Recorder1
Z081862,2014,CAL,3,5,M,65,10.58,162,,Recorder1
Z081863,2014,KCK,6,6,M,66,10.8,162,,Recorder1
Z081577,2015,NEW,2,6,M,65,11.4,144,,Recorder2
Z081747,2015,SER,1,5,M,,10.99,144,,Recorder2
Z081748,2015,SER,1,5,F,,10.91,144,,Recorder2
Z081757,2015,NEW,2,5,F,63,11.3,144,,Recorder2
Z081097,2015,DAV,5,6,F,64,10.83,146,,Recorder1
Z081798,2015,SER,3,6,M,66,11.19,146,,Recorder2
Z081799,2015,SER,3,6,F,62,10.45,146,,Recorder2
Z081800,2015,MCH,1,5,F,61,11.75,146,,Recorder2
Z081960,2015,BLG,4,5,M,64,10.96,146,,Recorder9
Z632032,2015,DAV,5,6,M,67,10.67,146,,Recorder1
Z632041,2015,CAR,2,6,F,63,11.48,146,,Recorder1
Z632401,2015,MCH,1,5,M,66,11.21,146,,Recorder2
Z081257,2015,FOU,3,5,M,64,11.1,147,13:45,Recorder9
L894966,2015,LVN,5,6,F,63,11.22,148,,Recorder2
Z081169,2015,DAV,1,6,F,65,11.51,148,,Recorder9
Z081649,2015,LVN,5,6,M,66,10.31,148,,Recorder2
Z081858,2015,BLG,6,6,F,61,10.75,148,,Recorder2
Z081993,2015,CAR,1,5,M,65,10.85,148,12:50,Recorder9
Z081994,2015,CAR,1,5,F,61,10.25,148,12:50,Recorder9
Z632409,2015,FOF,1,5,F,62,11.08,148,,Recorder2
Z632410,2015,FOF,1,5,M,66,10.64,148,,Recorder2
Z632422,2015,PTH,1,6,M,65,10.36,148,,Recorder2
Z632430,2015,DLW,6,5,F,62,11.04,148,,Recorder2
Z632431,2015,DLW,6,6,M,65,10.65,148,,Recorder2
Z081102,2015,DEL,3,6,M,62,10.25,149,16:20,Recorder9
Z081814,2015,NEW,3,6,M,69,10.72,149,7:00,Recorder9
Z632203,2015,NEW,3,6,F,61,9.38,149,7:00,Recorder9
Z632209,2015,DAV,1,5,M,64,10.8,149,11:25,Recorder9
Z632210,2015,FOU,4,6,M,65,10.45,149,14:10,Recorder9
Z632211,2015,FOU,6,5,M,66,10.94,149,14:25,Recorder9
Z632212,2015,FOU,6,6,F,62,9.61,149,14:25,Recorder9
Z632213,2015,DEL,3,5,F,59,10.84,149,16:20,Recorder9
Z632432,2015,BLG,6,6,M,65,11.03,149,,Recorder2
Z632433,2015,STY,3,5,M,66,11.39,149,,Recorder2
Z632434,2015,STY,3,5,F,63,11.71,149,,Recorder2
Z632446,2015,EDI,2,5,F,62,11.6,149,,Recorder2
Z632447,2015,EDI,2,5,M,63,10.51,149,,Recorder2
Z632448,2015,EDI,3,5,F,59,10.04,149,,Recorder2
D852273,2015,LVN,2,5,F,64,11.72,150,,Recorder2
Z081139,2015,FOF,3,6,M,67,11.4,150,,Recorder2
Z081140,2015,FOF,5,6,M,66,10.36,150,,Recorder2
Z081657,2015,STY,6,6,M,66,12.05,150,,Recorder2
Z081860,2015,DAV,3,6,M,63,9.72,150,11:00,Recorder9
Z081862,2015,CAL,1,6,M,67,10.89,150,,Recorder2
Z632221,2015,CAR,2,6,M,64,10.89,150,12:20,Recorder9
Z632449,2015,RSY,1,6,F,65,9.76,150,,Recorder2
Z632450,2015,RSY,1,5,M,67,10.83,150,,Recorder2
Z632451,2015,FOF,3,5,F,61,11.23,150,,Recorder2
Z632452,2015,FOF,5,5,F,62,10.95,150,,Recorder2
Z632461,2015,LVN,2,5,M,64,11.55,150,,Recorder2
Z632462,2015,BLG,3,5,M,67,11.66,150,,Recorder2
Z632463,2015,BLG,3,5,F,62,11.03,150,,Recorder2
Z632464,2015,BLA,6,5,M,65,11.31,150,,Recorder2
Z632465,2015,CAL,1,6,F,65,10.67,150,,Recorder2
Z632466,2015,STY,6,5,F,62,11.16,150,,Recorder2
D408219,2015,AVI,2,5,M,67,11.12,151,,Recorder1
Z632115,2015,AVI,2,5,F,63,10.53,151,,Recorder1
Z632133,2015,ALN,4,6,F,62,10.19,151,,Recorder1
Z632134,2015,ALN,4,6,M,68,11.88,151,,Recorder1
Z632474,2015,EDI,4,6,M,66,10.18,151,,Recorder2
Z632475,2015,EDI,4,6,F,63,10.56,151,,Recorder2
Z632476,2015,GLF,2,5,F,61,10.05,151,,Recorder2
Z632477,2015,GLF,6,5,M,65,11.88,151,,Recorder2
Z632478,2015,GLF,6,5,F,61,10.84,151,,Recorder2
Z632479,2015,SER,6,6,M,67,10.14,151,,Recorder2
Z632480,2015,SER,6,6,F,62,10.56,151,,Recorder2
Z632481,2015,FOF,6,5,F,61,,151,,Recorder2
Z632482,2015,FOF,6,5,M,63,11.44,151,,Recorder2
Z081154,2015,PTH,3,6,F,64,10.3,152,9:35,Recorder9
Z081196,2015,DEL,5,6,M,66,10.69,152,,Recorder1
Z081408,2015,NEW,6,5,M,61,9.8,152,16:15,Recorder9
Z632252,2015,PTH,5,6,F,61,10.71,152,9:25,Recorder9
Z632253,2015,PTH,3,6,M,63,11.33,152,9:35,Recorder9
Z632494,2015,LVN,6,5,F,62,,152,10:00,Recorder2
Z632495,2015,LVN,6,5,M,62,,152,10:00,Recorder2
Z632496,2015,MCH,6,5,M,66,10.37,152,11:00,Recorder2
Z632497,2015,MCH,6,5,F,62,11.12,152,11:00,Recorder2
Z632498,2015,MCH,3,5,M,67,10.58,152,11:30,Recorder2
Z081282,2015,DEL,1,5,F,60,10.61,153,15:40,Recorder9
Z081312,2015,AVI,3,5,F,60,9.68,153,9:55,Recorder9
Z632270,2015,DEL,1,6,M,64,11.35,153,15:40,Recorder9
Z632271,2015,DEL,5,5,F,60,10.83,153,15:50,Recorder9
Z632526,2015,GLF,4,5,F,64,11.2,153,11:00,Recorder2
Z632527,2015,GLF,4,6,M,65,10.3,153,11:00,Recorder2
Z081002,2015,BAD,1,5,M,65,10.44,154,,Recorder2
Z081170,2015,MUN,1,6,M,65,10.58,154,9:40,Recorder9
Z081171,2015,MUN,1,6,F,63,10.29,154,9:40,Recorder9
Z081391,2015,NEW,5,5,M,62,10.8,154,16:00,Recorder9
Z081615,2015,FSH,6,6,M,66,11.61,154,14:25,Recorder9
Z081688,2015,LVN,4,6,M,66,10.88,154,,Recorder2
Z632188,2015,BLG,2,6,M,65,11.17,154,,Recorder1
Z632274,2015,MUN,6,5,M,63,11.08,154,9:55,Recorder9
Z632275,2015,MUN,6,5,F,61,10.49,154,9:55,Recorder9
Z632281,2015,CAR,6,6,M,63,10.33,154,12:00,Recorder9
Z632282,2015,CAR,6,6,F,65,9.91,154,12:00,Recorder9
Z632283,2015,FSH,4,5,F,61,10.69,154,13:50,Recorder9
Z632284,2015,NEW,5,5,F,61,11.1,154,16:00,Recorder9
Z632533,2015,LVN,4,5,F,64,10.94,154,,Recorder2
Z632546,2015,BAD,1,6,F,62,11.49,154,,Recorder2
Z632285,2015,CAL,4,5,F,60,10.18,155,7:25,Recorder9
Z632286,2015,CAL,4,5,M,61,10.99,155,7:25,Recorder9
Z632287,2015,DUN,6,5,F,61,10.04,155,9:10,Recorder9
Z632713,2015,AVN,2,6,F,61,11.34,155,,Recorder1
Z632714,2015,AVN,2,5,M,65,11.28,155,,Recorder1
Z081147,2015,BAD,4,6,M,64,10.94,156,,Recorder2
Z081698,2015,PTH,4,6,M,65,10.78,156,,Recorder2
Z632550,2015,BAD,4,5,F,62,11.38,156,,Recorder2
Z632551,2015,BAD,5,5,F,63,12.46,156,,Recorder2
Z632558,2015,BAD,2,5,F,62,10.35,156,,Recorder2
Z632559,2015,BAD,2,5,M,65,11.19,156,,Recorder2
Z632561,2015,SER,2,5,F,62,10.73,156,,Recorder2
Z632562,2015,PTH,4,5,F,61,10.82,156,,Recorder2
Z632570,2015,BIR,2,5,M,63,10.88,156,,Recorder2
Z632571,2015,BIR,2,5,F,60,10.36,156,,Recorder2
Z632577,2015,BLA,5,5,M,66,10.22,156,,Recorder2
Z632578,2015,BLA,5,5,F,61,9.71,156,,Recorder2
Z081199,2015,TAI,4,6,F,63,10.51,157,18:00,Recorder1
Z081690,2015,GLF,1,6,M,69,11.14,157,13:00,Recorder2
Z632610,2015,KCZ,4,6,F,63,11.43,157,9:00,Recorder2
Z632611,2015,KCZ,4,6,M,63,10.62,157,9:00,Recorder2
Z632619,2015,SER,4,6,M,67,11.34,157,12:00,Recorder2
Z632620,2015,SER,4,6,F,61,10.34,157,12:00,Recorder2
Z632621,2015,SER,5,5,F,62,10.43,157,12:30,Recorder2
Z632622,2015,SER,5,5,M,66,10.55,157,12:30,Recorder2
Z632623,2015,GLF,3,6,M,65,10.38,157,13:30,Recorder2
Z632624,2015,GLF,3,5,F,62,,157,13:30,Recorder2
Z632625,2015,GLF,5,6,M,67,10.71,157,14:00,Recorder2
Z632626,2015,EDI,5,5,F,61,10.5,157,14:30,Recorder2
Z632627,2015,EDI,5,5,M,64,10.22,157,14:30,Recorder2
