year,site,box,ring,v1date,v1mass,v1ringer,v2alive,v2date,v2mass,v2wing,v2ringer,fledged
2014,ALN,1,Z081185,149,6.7,Recorder2,1,155,10.22,36,Recorder1,1
2014,ALN,1,Z081186,149,7.1,Recorder2,1,155,10.93,37,Recorder1,1
2014,ALN,1,Z081187,149,6.7,Recorder2,1,155,10.04,39,Recorder1,1
2014,ALN,1,Z081188,149,6.2,Recorder2,1,155,9.31,32,Recorder1,1
2014,ALN,1,Z081189,149,7.2,Recorder2,1,155,10.44,37,Recorder1,1
2014,ALN,1,Z081190,149,7.5,Recorder2,1,155,10.3,35,Recorder1,1
2014,ALN,1,Z081191,149,6.8,Recorder2,1,155,10.13,37,Recorder1,1
2014,ALN,1,Z081192,149,7.2,Recorder2,1,155,10.01,35,Recorder1,1
2014,ALN,1,Z081193,149,7.7,Recorder2,1,155,10.9,37,Recorder1,1
2014,ALN,5,Z081424,145,7.51,Recorder1,1,151,10.99,38,Recorder1,1
2014,ALN,5,Z081425,145,6.94,Recorder1,1,151,10.87,37,Recorder1,1
2014,ALN,5,Z081426,145,7.71,Recorder1,1,151,12.01,39,Recorder1,1
2014,ALN,5,Z081427,145,7.87,Recorder1,1,151,11.58,40,Recorder1,1
2014,ALN,5,Z081428,145,7.55,Recorder1,1,151,11.39,38,Recorder1,1
2014,ALN,5,Z081429,145,7.55,Recorder1,1,151,11.35,38,Recorder1,1
2014,ALN,5,Z081430,145,6.79,Recorder1,1,151,10.98,36,Recorder1,1
2014,ALN,5,Z081431,145,7.38,Recorder1,1,151,11.55,38,Recorder1,1
2014,AVI,1,Z081344,143,6.56,Recorder1,1,149,11.6,37,Recorder2,1
2014,AVI,1,Z081345,143,6.78,Recorder1,1,149,11.3,39,Recorder2,1
2014,AVI,1,Z081346,143,6.39,Recorder1,1,149,10.9,36,Recorder2,1
2014,AVI,1,Z081347,143,6.01,Recorder1,1,149,11.5,35,Recorder2,1
2014,AVI,1,Z081348,143,6.18,Recorder1,1,149,11,37,Recorder2,1
2014,AVI,1,Z081349,143,5.59,Recorder1,1,149,10.8,33,Recorder2,1
2014,AVI,1,Z081350,143,6.37,Recorder1,1,149,11.5,37,Recorder2,1
2014,AVI,1,Z081351,143,6.3,Recorder1,1,149,11.3,37,Recorder2,1
2014,BAD,1,Z081051,142,5.4,Recorder2,1,148,10.8,33,Recorder2,1
2014,BAD,1,Z081058,142,6,Recorder2,1,148,11.6,37,Recorder2,1
2014,BAD,1,Z081059,142,6.1,Recorder2,1,148,11,37,Recorder2,1
2014,BAD,1,Z081060,142,5.9,Recorder2,1,148,10.8,35,Recorder2,1
2014,BAD,1,Z081061,142,6.3,Recorder2,1,148,11,37,Recorder2,1
2014,BAD,1,Z081062,142,6.1,Recorder2,1,148,10.9,38,Recorder2,1
2014,BAD,1,Z081063,142,6.4,Recorder2,1,148,11,33,Recorder2,1
2014,BAD,1,Z081064,142,6.1,Recorder2,1,148,11.4,37,Recorder2,1
2014,BAD,1,Z081065,142,6.3,Recorder2,1,148,11.9,36,Recorder2,1
2014,BAD,1,Z081066,142,4.3,Recorder2,1,148,10.2,28,Recorder2,1
2014,BAD,1,Z081067,142,5,Recorder2,1,148,10.2,33,Recorder2,1
2014,BAD,3,Z081118,144,5.4,Recorder2,1,150,10,,Recorder2,1
2014,BAD,3,Z081119,144,6.5,Recorder2,1,150,11.2,,Recorder2,1
2014,BAD,3,Z081120,144,5.9,Recorder2,1,150,11.4,,Recorder2,1
2014,BAD,3,Z081121,144,6.2,Recorder2,1,150,10.9,,Recorder2,1
2014,BAD,3,Z081122,144,5.6,Recorder2,1,150,10.5,,Recorder2,1
2014,BAD,3,Z081123,144,5.8,Recorder2,1,150,10.5,,Recorder2,1
